reference,reader,protocol,seed,comparison,A,B
old,coarse,original,29,E_vs_F,True,True
old,coarse,original,29,E_vs_B_E,True,True
old,coarse,original,43,E_vs_F,False,True
old,coarse,original,43,E_vs_B_E,False,False
old,coarse,shorter,29,E_vs_F,True,True
old,coarse,shorter,29,E_vs_B_E,True,True
old,coarse,shorter,29,E_vs_D_E,False,False
old,coarse,shorter,29,D_E_vs_E,False,False
old,coarse,shorter,29,D_E_vs_F,True,True
old,coarse,shorter,29,D_E_vs_B_E,True,True
old,coarse,shorter,43,E_vs_F,True,True
old,coarse,shorter,43,E_vs_B_E,True,True
old,coarse,shorter,43,E_vs_D_E,False,False
old,coarse,shorter,43,D_E_vs_E,False,False
old,coarse,shorter,43,D_E_vs_F,False,True
old,coarse,shorter,43,D_E_vs_B_E,True,True
old,fine,original,29,E_vs_F,True,True
old,fine,original,29,E_vs_B_E,True,True
old,fine,original,43,E_vs_F,False,True
old,fine,original,43,E_vs_B_E,False,False
old,fine,shorter,29,E_vs_F,True,True
old,fine,shorter,29,E_vs_B_E,True,True
old,fine,shorter,29,E_vs_D_E,False,False
old,fine,shorter,29,D_E_vs_E,False,False
old,fine,shorter,29,D_E_vs_F,True,True
old,fine,shorter,29,D_E_vs_B_E,True,True
old,fine,shorter,43,E_vs_F,True,True
old,fine,shorter,43,E_vs_B_E,True,True
old,fine,shorter,43,E_vs_D_E,False,False
old,fine,shorter,43,D_E_vs_E,False,False
old,fine,shorter,43,D_E_vs_F,False,True
old,fine,shorter,43,D_E_vs_B_E,True,True
refined,coarse,original,29,E_vs_F,True,True
refined,coarse,original,29,E_vs_B_E,True,True
refined,coarse,original,43,E_vs_F,False,True
refined,coarse,original,43,E_vs_B_E,False,False
refined,coarse,shorter,29,E_vs_F,True,True
refined,coarse,shorter,29,E_vs_B_E,True,True
refined,coarse,shorter,29,E_vs_D_E,False,False
refined,coarse,shorter,29,D_E_vs_E,False,False
refined,coarse,shorter,29,D_E_vs_F,True,True
refined,coarse,shorter,29,D_E_vs_B_E,True,True
refined,coarse,shorter,43,E_vs_F,True,True
refined,coarse,shorter,43,E_vs_B_E,True,True
refined,coarse,shorter,43,E_vs_D_E,False,False
refined,coarse,shorter,43,D_E_vs_E,False,False
refined,coarse,shorter,43,D_E_vs_F,False,True
refined,coarse,shorter,43,D_E_vs_B_E,True,True
refined,fine,original,29,E_vs_F,True,True
refined,fine,original,29,E_vs_B_E,True,True
refined,fine,original,43,E_vs_F,False,True
refined,fine,original,43,E_vs_B_E,False,False
refined,fine,shorter,29,E_vs_F,True,True
refined,fine,shorter,29,E_vs_B_E,True,True
refined,fine,shorter,29,E_vs_D_E,False,False
refined,fine,shorter,29,D_E_vs_E,False,False
refined,fine,shorter,29,D_E_vs_F,True,True
refined,fine,shorter,29,D_E_vs_B_E,True,True
refined,fine,shorter,43,E_vs_F,True,True
refined,fine,shorter,43,E_vs_B_E,True,True
refined,fine,shorter,43,E_vs_D_E,False,False
refined,fine,shorter,43,D_E_vs_E,False,False
refined,fine,shorter,43,D_E_vs_F,False,True
refined,fine,shorter,43,D_E_vs_B_E,True,True
spatial,coarse,original,29,E_vs_F,True,True
spatial,coarse,original,29,E_vs_B_E,False,True
spatial,coarse,original,43,E_vs_F,False,True
spatial,coarse,original,43,E_vs_B_E,False,True
spatial,coarse,shorter,29,E_vs_F,True,True
spatial,coarse,shorter,29,E_vs_B_E,True,True
spatial,coarse,shorter,29,E_vs_D_E,False,False
spatial,coarse,shorter,29,D_E_vs_E,False,False
spatial,coarse,shorter,29,D_E_vs_F,True,True
spatial,coarse,shorter,29,D_E_vs_B_E,True,True
spatial,coarse,shorter,43,E_vs_F,False,True
spatial,coarse,shorter,43,E_vs_B_E,True,True
spatial,coarse,shorter,43,E_vs_D_E,False,False
spatial,coarse,shorter,43,D_E_vs_E,False,False
spatial,coarse,shorter,43,D_E_vs_F,False,True
spatial,coarse,shorter,43,D_E_vs_B_E,True,True
spatial,fine,original,29,E_vs_F,True,True
spatial,fine,original,29,E_vs_B_E,False,True
spatial,fine,original,43,E_vs_F,False,True
spatial,fine,original,43,E_vs_B_E,False,False
spatial,fine,shorter,29,E_vs_F,True,True
spatial,fine,shorter,29,E_vs_B_E,True,True
spatial,fine,shorter,29,E_vs_D_E,False,False
spatial,fine,shorter,29,D_E_vs_E,False,False
spatial,fine,shorter,29,D_E_vs_F,True,True
spatial,fine,shorter,29,D_E_vs_B_E,True,True
spatial,fine,shorter,43,E_vs_F,False,True
spatial,fine,shorter,43,E_vs_B_E,True,True
spatial,fine,shorter,43,E_vs_D_E,False,False
spatial,fine,shorter,43,D_E_vs_E,False,False
spatial,fine,shorter,43,D_E_vs_F,False,True
spatial,fine,shorter,43,D_E_vs_B_E,True,True
